Student ID,Attendance,Average Grade,Result
101,91,64,Pass
102,91,81,Pass
103,76,76,Pass
104,91,25,Fail
105,80,47,Pass
106,84,47,Pass
107,93,63,Pass
108,32,49,Dropout
109,80,81,Pass
110,36,94,Dropout
111,50,81,Pass
112,68,20,Fail
113,47,46,Pass
114,33,81,Dropout
115,89,96,Pass
116,43,22,Fail
117,38,89,Dropout
118,82,91,Pass
119,31,46,Dropout
120,89,28,Fail
121,73,81,Pass
122,37,56,Dropout
123,76,70,Pass
124,64,63,Pass
125,65,43,Pass
126,79,78,Pass
127,33,51,Dropout
128,31,71,Dropout
129,35,81,Dropout
130,83,77,Pass
131,33,71,Dropout
132,83,31,Fail
133,92,58,Pass
134,47,21,Fail
135,73,22,Fail
136,63,75,Pass
137,91,78,Pass
138,43,21,Fail
139,77,21,Fail
140,44,73,Dropout
141,91,20,Fail
142,69,38,Pass
143,82,21,Fail
144,53,72,Pass
145,55,63,Pass
146,89,51,Pass
147,70,89,Pass
148,58,51,Pass
149,44,87,Dropout
150,74,74,Pass
151,94,94,Pass
152,38,75,Dropout
153,30,36,Dropout
154,37,57,Dropout
155,92,43,Pass
156,40,88,Dropout
157,37,89,Dropout
158,64,30,Fail
159,64,35,Pass
160,62,92,Pass
161,34,78,Dropout
162,70,89,Pass
163,57,22,Fail
164,36,39,Dropout
165,41,78,Dropout
166,63,55,Pass
167,62,38,Pass
168,77,86,Pass
169,52,38,Pass
170,91,39,Pass
171,66,90,Pass
172,73,71,Pass
173,64,52,Pass
174,94,59,Pass
175,76,58,Pass
176,32,20,Fail
177,30,30,Fail
178,81,24,Fail
179,44,33,Fail
180,90,46,Pass
181,50,28,Fail
182,53,34,Fail
183,32,61,Dropout
184,51,96,Pass
185,82,70,Pass
186,31,82,Dropout
187,59,71,Pass
188,67,23,Fail
189,31,42,Dropout
190,93,34,Fail
191,89,62,Pass
192,50,48,Pass
193,62,55,Pass
194,87,32,Fail
195,51,51,Pass
196,78,90,Pass
197,88,78,Pass
198,71,47,Pass
199,89,85,Pass
200,44,61,Dropout
