Month,DEMAT Account Count
Jan-19,30000000
Feb-19,30200000
Mar-19,30400000
Apr-19,30600000
May-19,30900000
Jun-19,31100000
Jul-19,31300000
Aug-19,31500000
Sep-19,31700000
Oct-19,31900000
Nov-19,32200000
Dec-19,32400000
Jan-20,32600000
Feb-20,32900000
Mar-20,33100000
Apr-20,33400000
May-20,33700000
Jun-20,34000000
Jul-20,34400000
Aug-20,34700000
Sep-20,35000000
Oct-20,35300000
Nov-20,35600000
Dec-20,35900000
Jan-21,36200000
Feb-21,36600000
Mar-21,37000000
Apr-21,37300000
May-21,37600000
Jun-21,38000000
Jul-21,38400000
Aug-21,38800000
Sep-21,39200000
Oct-21,39600000
Nov-21,40000000
Dec-21,40400000
Jan-22,40800000
Feb-22,41200000
Mar-22,41600000
Apr-22,42000000
May-22,42500000
Jun-22,43000000
Jul-22,43500000
Aug-22,44000000
Sep-22,44500000
Oct-22,45000000
Nov-22,45600000
Dec-22,46200000
Jan-23,46800000
Feb-23,47400000
Mar-23,48000000
Apr-23,48700000
May-23,49400000
Jun-23,50100000
Jul-23,50800000
Aug-23,51500000
Sep-23,52200000
Oct-23,53000000
Nov-23,53800000
Dec-23,54600000
